,lat,lon,Population,Altitude,Mean_temp
MG133,31.612778,131.433889,South,-1,17.8
MG134,31.498333,131.384167,South,88,17.4
MG135,31.473056,131.365833,South,20,17.8
MG136,31.458611,131.356389,South,4,17.9
MG137,31.4475,131.370556,South,NA,NA
MG138,31.425833,131.354444,South,123,17.2
MG139,31.820833,131.420556,South,2,17.6
MG140,31.851944,131.399444,South,16,17.4
MG141,31.951111,131.308056,South,14,17.3
MG142,31.644722,131.431111,South,0,17.7
MG143,31.645278,131.466667,South,0,17.7
MG144,31.644722,131.466111,South,0,17.7
MG145,31.626944,131.4575,South,148,16.9
MG149,34.103374,129.167497,South,24,15.8
MG150,34.1072,129.172541,South,55,15.8
MG151,34.107931,129.21022,South,4,15.8
MG154,34.664955,129.490247,South,5,15.7
MG156,34.683473,129.471921,South,7,15.7
MG162,32.792673,128.806625,South,NA,NA
MG163,32.770342,128.683514,South,NA,NA
MG170,32.618399,128.631639,South,NA,NA
MG172,32.653851,128.801236,South,NA,NA
MG176,32.654588,128.892542,South,NA,NA
MG187,33.216911,129.048278,South,NA,NA
MG188,42.01556,143.26475,North,NA,NA
MG196,40.675601,140.940986,North,NA,NA
MG198,40.50946,141.610132,North,NA,NA
MG201,40.510985,141.610529,North,NA,NA
MG202,35.057694,140.074047,North,NA,NA
MG203,35.057828,140.07221,North,NA,NA
MG204,34.900414,139.888255,North,NA,NA
MG205,35.285451,140.084599,North,NA,NA
MG206,38.657289,140.874038,North,NA,NA
MG207,35.145722,136.660309,South,NA,NA
MG209,33.397553,129.435963,South,NA,NA
MG221,33.417554,129.42362,South,NA,NA
MG222,33.372453,129.432488,South,NA,NA
MG225,33.529169,129.951404,South,NA,NA
